plot,block,field,treatment,OM,mass.loss
1,1,packards,cont,2.52,1
2,1,packards,corn,1.93,1.55
3,1,packards,na,2.2,1.3
4,1,packards,both,2.13,1.36
5,2,packards,cont,1.96,1.51
6,2,packards,corn,2.04,1.48
7,2,packards,na,2.48,1.05
8,2,packards,both,1.85,1.63
9,3,packards,cont,2.06,1.42
10,3,packards,corn,0.97,2.53
11,3,packards,na,2.04,1.46
12,3,packards,both,2.09,1.42
13,4,toussaint,cont,2.1,1.36
14,4,toussaint,corn,2.24,1.27
16,4,toussaint,both,1.97,1.53
17,5,toussaint,cont,2.18,1.28
18,5,toussaint,corn,1.77,1.73
20,5,toussaint,both,2.07,1.44
21,6,toussaint,cont,1.29,2.21
22,6,toussaint,corn,1.35,2.15
23,6,toussaint,na,1.99,1.56
24,6,toussaint,both,1.82,1.68
25,7,stony.ridge,cont,2.35,1.16
26,7,stony.ridge,na,2.06,1.45
27,7,stony.ridge,corn,1.64,1.87
28,7,stony.ridge,both,1.73,1.81
29,8,stony.ridge,cont,2.03,1.47
30,8,stony.ridge,na,2.19,1.36
32,8,stony.ridge,both,2.22,1.28
33,9,stony.ridge,cont,2.32,1.18
34,9,stony.ridge,na,2.26,1.24
35,9,stony.ridge,corn,2.17,1.37
36,9,stony.ridge,both,2.24,1.31
38,10,luckey,na,2.03,1.49
40,10,luckey,both,2.22,1.31
41,11,luckey,cont,1.7,1.83
42,11,luckey,na,2.01,1.49
44,11,luckey,both,2.14,1.29
45,12,luckey,cont,1.52,1.94
46,12,luckey,na,2.18,1.3
47,12,luckey,corn,1.61,1.91
48,12,luckey,both,2.33,1.13
