plot number,plot,date,treatment,field,abundance,richness,abundancenoants
1,1J,7/20/16,control,packards,3,2,3
1,1J,7/27/16,control,packards,3,3,3
1,1J,8/3/16,control,packards,3,3,3
1,1J,9/21/16,control,packards,0,0,0
2,2J,7/20/16,corn,packards,5,1,5
2,2J,7/27/16,corn,packards,4,3,3
2,2J,8/3/16,corn,packards,9,5,9
2,2J,9/21/16,corn,packards,0,0,0
3,3J,7/20/16,na,packards,6,2,6
3,3J,7/27/16,na,packards,6,4,6
3,3J,8/3/16,na,packards,6,3,6
3,3J,9/21/16,na,packards,6,6,5
4,4J,7/20/16,both,packards,5,3,5
4,4J,7/27/16,both,packards,4,4,4
4,4J,8/3/16,both,packards,10,2,10
4,4J,9/21/16,both,packards,0,0,0
5,5J,7/20/16,control,packards,2,2,2
5,5J,7/27/16,control,packards,7,6,7
5,5J,8/3/16,control,packards,9,5,9
5,5J,9/21/16,control,packards,0,0,0
6,6J,7/20/16,corn,packards,5,3,5
6,6J,7/27/16,corn,packards,7,4,7
6,6J,8/3/16,corn,packards,11,8,11
6,6J,9/21/16,corn,packards,0,0,0
7,7J,7/20/16,na,packards,5,4,5
7,7J,7/27/16,na,packards,3,3,3
7,7J,8/3/16,na,packards,6,5,6
7,7J,9/21/16,na,packards,0,0,0
8,8J,7/20/16,both,packards,7,6,7
8,8J,7/27/16,both,packards,6,3,6
8,8J,8/3/16,both,packards,8,6,8
8,8J,9/21/16,both,packards,0,0,0
9,9J,7/20/16,control,packards,9,4,9
9,9J,7/27/16,control,packards,5,2,5
9,9J,8/3/16,control,packards,8,7,8
9,9J,9/21/16,control,packards,,,
10,10J,7/20/16,corn,packards,4,2,4
10,10J,7/27/16,corn,packards,5,4,5
10,10J,8/3/16,corn,packards,9,6,9
10,10J,9/21/16,corn,packards,0,0,0
11,11J,7/20/16,na,packards,8,4,8
11,11J,7/27/16,na,packards,5,3,5
11,11J,8/3/16,na,packards,7,5,7
11,11J,9/21/16,na,packards,0,0,0
12,12J,7/20/16,both,packards,11,6,11
12,12J,7/27/16,both,packards,3,2,3
12,12J,8/3/16,both,packards,13,6,13
12,12J,9/21/16,both,packards,3,3,3
13,13J,7/20/16,control,toussaint,4,1,4
13,13J,7/27/16,control,toussaint,5,2,5
13,13J,8/3/16,control,toussaint,8,6,8
13,13J,9/21/16,control,toussaint,0,0,0
14,14J,7/20/16,corn,toussaint,9,7,9
14,14J,7/27/16,corn,toussaint,3,2,3
14,14J,9/21/16,corn,toussaint,0,0,0
15,15J,7/20/16,na,toussaint,3,2,2
15,15J,7/27/16,na,toussaint,5,3,5
15,15J,8/3/16,na,toussaint,2,2,2
15,15J,9/21/16,na,toussaint,0,0,0
16,16J,7/20/16,both,toussaint,13,7,13
16,16J,7/27/16,both,toussaint,3,1,3
16,16J,8/3/16,both,toussaint,4,4,4
16,16J,9/21/16,both,toussaint,0,0,0
17,17J,7/20/16,control,toussaint,4,3,4
17,17J,7/27/16,control,toussaint,4,4,4
17,17J,8/3/16,control,toussaint,2,2,2
17,17J,9/21/16,control,toussaint,0,0,0
18,18J,7/20/16,corn,toussaint,4,3,4
18,18J,7/27/16,corn,toussaint,5,4,5
18,18J,8/3/16,corn,toussaint,9,6,8
18,18J,9/21/16,corn,toussaint,0,0,0
19,19J,7/20/16,na,toussaint,3,3,2
19,19J,7/27/16,na,toussaint,3,3,3
19,19J,8/3/16,na,toussaint,4,3,4
19,19J,9/21/16,na,toussaint,0,0,0
20,20J,7/20/16,both,toussaint,4,3,4
20,20J,7/27/16,both,toussaint,2,1,2
20,20J,8/3/16,both,toussaint,5,3,5
20,20J,9/21/16,both,toussaint,0,0,0
21,21J,7/20/16,control,toussaint,3,2,3
21,21J,7/27/16,control,toussaint,4,2,4
21,21J,8/3/16,control,toussaint,5,5,4
21,21J,9/21/16,control,toussaint,0,0,0
22,22J,7/20/16,corn,toussaint,4,3,4
22,22J,7/27/16,corn,toussaint,6,4,6
22,22J,8/3/16,corn,toussaint,0,0,0
22,22J,9/21/16,corn,toussaint,0,0,0
23,23J,7/20/16,na,toussaint,3,2,3
23,23J,7/27/16,na,toussaint,8,5,8
