plot number,plot,date,treatment,field,predator,scavenger,herbivore,scavengernoants,percentpred,percentscav,percentherb,antcolony
1,1J,7/20/16,control,packards,1,0,2,0,0.333333333,0,0.666666667,0
1,1J,7/27/16,control,packards,1,1,0,1,0.5,0.5,0,0
1,1J,8/3/16,control,packards,1,0,0,0,1,0,0,0
1,1J,9/21/16,control,packards,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
2,2J,7/20/16,corn,packards,0,0,5,0,0,0,1,0
2,2J,7/27/16,corn,packards,0,2,2,1,0,0.333333333,0.666666667,0
2,2J,8/3/16,corn,packards,4,3,2,3,0.444444444,0.333333333,0.222222222,0
2,2J,9/21/16,corn,packards,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
3,3J,7/20/16,na,packards,1,0,5,0,0.166666667,0,0.833333333,0
3,3J,7/27/16,na,packards,4,1,1,1,0.666666667,0.166666667,0.166666667,0
3,3J,8/3/16,na,packards,0,5,1,5,0,0.833333333,0.166666667,0
3,3J,9/21/16,na,packards,2,2,1,1,0.5,0.25,0.25,0
4,4J,7/20/16,both,packards,1,2,2,2,0.2,0.4,0.4,0
4,4J,7/27/16,both,packards,0,3,1,3,0,0.75,0.25,0
4,4J,8/3/16,both,packards,10,0,0,0,1,0,0,0
4,4J,9/21/16,both,packards,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
5,5J,7/20/16,control,packards,1,0,1,0,0.5,0,0.5,0
5,5J,7/27/16,control,packards,3,2,1,2,0.5,0.333333333,0.166666667,0
5,5J,8/3/16,control,packards,6,1,1,1,0.75,0.125,0.125,0
5,5J,9/21/16,control,packards,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
6,6J,7/20/16,corn,packards,1,0,4,0,0.2,0,0.8,0
6,6J,7/27/16,corn,packards,4,0,2,0,0.666666667,0,0.333333333,0
6,6J,8/3/16,corn,packards,6,0,1,0,0.857142857,0,0.142857143,0
6,6J,9/21/16,corn,packards,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
7,7J,7/20/16,na,packards,4,0,1,0,0.8,0,0.2,0
7,7J,7/27/16,na,packards,2,1,0,1,0.666666667,0.333333333,0,0
7,7J,8/3/16,na,packards,3,1,1,1,0.6,0.2,0.2,0
7,7J,9/21/16,na,packards,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
8,8J,7/20/16,both,packards,4,1,2,1,0.571428571,0.142857143,0.285714286,0
8,8J,7/27/16,both,packards,5,1,0,1,0.833333333,0.166666667,0,0
8,8J,8/3/16,both,packards,3,3,1,3,0.428571429,0.428571429,0.142857143,0
8,8J,9/21/16,both,packards,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
9,9J,7/20/16,control,packards,1,0,8,0,0.111111111,0,0.888888889,0
9,9J,7/27/16,control,packards,0,1,4,1,0,0.2,0.8,0
9,9J,8/3/16,control,packards,4,0,2,0,0.666666667,0,0.333333333,0
9,9J,9/21/16,control,packards,,,,,,,,
10,10J,7/20/16,corn,packards,4,0,0,0,1,0,0,0
10,10J,7/27/16,corn,packards,2,2,1,2,0.4,0.4,0.2,0
10,10J,8/3/16,corn,packards,3,4,1,4,0.375,0.5,0.125,0
10,10J,9/21/16,corn,packards,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
11,11J,7/20/16,na,packards,1,1,6,1,0.125,0.125,0.75,0
11,11J,7/27/16,na,packards,2,0,3,0,0.4,0,0.6,0
11,11J,8/3/16,na,packards,3,2,2,2,0.428571429,0.285714286,0.285714286,0
11,11J,9/21/16,na,packards,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
12,12J,7/20/16,both,packards,3,0,8,0,0.272727273,0,0.727272727,0
12,12J,7/27/16,both,packards,1,0,2,0,0.333333333,0,0.666666667,0
12,12J,8/3/16,both,packards,3,5,1,5,0.333333333,0.555555556,0.111111111,0
12,12J,9/21/16,both,packards,1,1,1,1,0.333333333,0.333333333,0.333333333,0
13,13J,7/20/16,control,toussaint,4,0,0,0,1,0,0,0
13,13J,7/27/16,control,toussaint,4,0,1,0,0.8,0,0.2,0
13,13J,8/3/16,control,toussaint,5,0,3,0,0.625,0,0.375,0
13,13J,9/21/16,control,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
14,14J,7/20/16,corn,toussaint,5,2,2,2,0.555555556,0.222222222,0.222222222,0
14,14J,7/27/16,corn,toussaint,3,0,0,0,1,0,0,0
14,14J,9/21/16,corn,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
15,15J,7/20/16,na,toussaint,0,3,0,2,0,1,0,0
15,15J,7/27/16,na,toussaint,2,0,3,0,0.4,0,0.6,0
15,15J,8/3/16,na,toussaint,1,0,1,0,0.5,0,0.5,0
15,15J,9/21/16,na,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
16,16J,7/20/16,both,toussaint,4,1,4,1,0.444444444,0.111111111,0.444444444,0
16,16J,7/27/16,both,toussaint,3,0,0,0,1,0,0,0
16,16J,8/3/16,both,toussaint,2,1,1,1,0.5,0.25,0.25,0
16,16J,9/21/16,both,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
17,17J,7/20/16,control,toussaint,3,1,0,1,0.75,0.25,0,0
17,17J,7/27/16,control,toussaint,2,1,1,1,0.5,0.25,0.25,0
17,17J,8/3/16,control,toussaint,2,0,0,0,1,0,0,0
17,17J,9/21/16,control,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
18,18J,7/20/16,corn,toussaint,3,1,0,1,0.75,0.25,0,0
18,18J,7/27/16,corn,toussaint,3,0,2,0,0.6,0,0.4,0
18,18J,8/3/16,corn,toussaint,7,1,0,0,1,0,0,0
18,18J,9/21/16,corn,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
19,19J,7/20/16,na,toussaint,1,1,1,0,0.5,0,0.5,0
19,19J,7/27/16,na,toussaint,3,0,0,0,1,0,0,0
19,19J,8/3/16,na,toussaint,2,0,2,0,0.5,0,0.5,0
19,19J,9/21/16,na,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
20,20J,7/20/16,both,toussaint,3,1,0,1,0.75,0.25,0,0
20,20J,7/27/16,both,toussaint,2,0,0,0,1,0,0,0
20,20J,8/3/16,both,toussaint,3,2,0,2,0.6,0.4,0,0
20,20J,9/21/16,both,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
21,21J,7/20/16,control,toussaint,2,1,0,1,0.666666667,0.333333333,0,0
21,21J,7/27/16,control,toussaint,0,2,2,2,0,0.5,0.5,0
21,21J,8/3/16,control,toussaint,2,2,1,1,0.5,0.25,0.25,0
21,21J,9/21/16,control,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
22,22J,7/20/16,corn,toussaint,1,3,0,3,0.25,0.75,0,0
22,22J,7/27/16,corn,toussaint,5,0,1,0,0.833333333,0,0.166666667,0
22,22J,8/3/16,corn,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
22,22J,9/21/16,corn,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
23,23J,7/20/16,na,toussaint,2,0,1,0,0.666666667,0,0.333333333,0
23,23J,7/27/16,na,toussaint,4,1,3,1,0.5,0.125,0.375,0
23,23J,8/3/16,na,toussaint,4,0,0,0,1,0,0,0
23,23J,9/21/16,na,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
24,24J,7/20/16,both,toussaint,3,1,2,1,0.5,0.166666667,0.333333333,0
24,24J,7/27/16,both,toussaint,2,2,0,0,1,0,0,0
24,24J,8/3/16,both,toussaint,2,0,1,0,0.666666667,0,0.333333333,0
24,24J,9/21/16,both,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
25,25J,7/20/16,control,stony.ridge,2,1,1,1,0.5,0.25,0.25,0
