date,sample,block,field,treatment,na,stover,toc.resin,tn.resin,p.resin,days.resin
20160818,1,1,packards,cont,0,0,2.637696078,32.76489838,0.003850487,30
20160818,2,1,packards,corn,0,1,NS,NS,0.023045022,30
20160818,3,1,packards,na,1,0,2.16874183,18.03664853,0.003025383,30
20160818,4,1,packards,both,1,1,2.386062092,10.01004811,0.006195521,30
20160818,5,2,packards,cont,0,0,3.104362745,28.44697774,0.001592307,30
20160818,6,2,packards,corn,0,1,10.1478268,16.5697385,0.004979578,30
20160818,7,2,packards,na,1,0,0.771143791,13.67140821,0.002156852,30
20160818,8,2,packards,both,1,1,4.26183533,4.786251266,0.006238947,30
20160818,9,3,packards,cont,0,0,2.943996309,35.20311172,0.001114615,30
20160818,10,3,packards,corn,0,1,4.943305539,16.64189597,0.002200278,30
20160818,11,3,packards,na,1,0,1.719791562,11.23773766,0.002373985,30
20160818,12,3,packards,both,1,1,3.125378146,9.533369139,0.006108668,30
20160818,13,4,toussaint,cont,0,0,1.884755705,29.3886973,0.004588739,30
20160818,14,4,toussaint,corn,0,1,5.255060684,16.30236116,0.000897482,30
20160818,15,4,toussaint,na,1,0,1.332567144,10.65431942,0.00393734,30
20160818,16,4,toussaint,both,1,1,3.656376923,6.0190617,0.014924257,30
20160818,17,5,toussaint,cont,0,0,4.237357696,12.31222565,0.000376363,30
20160818,18,5,toussaint,corn,0,1,4.076071814,13.33836379,0.001201468,30
20160818,19,5,toussaint,na,1,0,1.826793992,14.99834508,0.000940909,30
20160818,20,5,toussaint,both,1,1,3.459611255,5.945935992,0.009120379,30
20160818,21,6,toussaint,cont,0,0,2.593664501,23.08859471,0.004423685,30
20160818,22,6,toussaint,corn,0,1,8.328263721,3.091340878,0.004596041,30
20160818,23,6,toussaint,na,1,0,1.226665547,10.65280944,0.005630175,30
20160818,24,6,toussaint,both,1,1,NR,NR,0.010197603,30
20160818,25,7,stony.ridge,cont,0,0,4.309385789,2.888600373,0.001554159,28
20160818,26,7,stony.ridge,na,1,0,12.61563433,7.13498395,0.001184825,28
20160818,27,7,stony.ridge,corn,0,1,1.804500781,10.37142714,0.001784993,28
20160818,28,7,stony.ridge,both,1,1,5.501951482,6.136119041,0.002154326,28
20160818,29,8,stony.ridge,cont,0,0,4.567042897,5.826638643,0.001784993,28
20160818,30,8,stony.ridge,na,1,0,3.187933993,4.428848514,0.010048835,28
20160818,31,8,stony.ridge,corn,0,1,2.780795637,16.02006783,0.001461826,28
20160818,32,8,stony.ridge,both,1,1,10.43139945,20.37787079,0.008479167,28
20160818,33,9,stony.ridge,cont,0,0,3.750022021,5.650937521,0.007232666,28
20160818,34,9,stony.ridge,na,1,0,1.569846239,22.21968752,0.006493998,28
20160818,35,9,stony.ridge,corn,0,1,1.563158027,4.7852413,0.022698517,28
20160818,36,9,stony.ridge,both,1,1,5.954695474,4.769557625,0.005385997,28
20160818,37,10,luckey,cont,0,0,4.485589508,1.461587241,0.03137786,28
20160818,38,10,luckey,na,1,0,NS,NS,0.026484188,28
20160818,39,10,luckey,corn,0,1,1.574401967,25.08469575,0.005108996,28
20160818,40,10,luckey,both,1,1,NS,NS,NS,28
20160818,41,11,luckey,cont,0,0,4.746134904,18.12320205,0.007324999,28
20160818,42,11,luckey,na,1,0,NS,NS,0.004338558,28
20160818,43,11,luckey,corn,0,1,NS,NS,NS,28
20160818,44,11,luckey,both,1,1,2.367366707,13.24397587,0.010684381,28
20160818,45,12,luckey,cont,0,0,2.659149136,35.93284217,0.008090468,28
20160818,46,12,luckey,na,1,0,1.543239874,18.07911801,0.011471819,28
20160818,47,12,luckey,corn,0,1,4.37227991,11.29679911,0.00382904,28
20160818,48,12,luckey,both,1,1,NS,NS,NS,28
20160930,1,1,packards,cont,0,0,1.180691774,14.57823429,0.002753812,73
20160930,2,1,packards,corn,0,1,2.004353776,9.31772781,0.036048281,73
20160930,3,1,packards,na,1,0,0.69466545,8.547543159,0.000284264,73
20160930,4,1,packards,both,1,1,1.576556693,8.101901726,0.006395949,73
20160930,5,2,packards,cont,0,0,1.052493526,9.404918525,0.003215741,73
20160930,6,2,packards,corn,0,1,NS,NS,0.038402161,73
20160930,7,2,packards,na,1,0,1.342230958,9.109438879,0.001012692,73
20160930,8,2,packards,both,1,1,0.432312287,10.52280124,0.004228433,73
20160930,9,3,packards,cont,0,0,1.426823612,10.41519176,0.004637063,73
20160930,10,3,packards,corn,0,1,2.347040905,11.42621249,0.002203049,73
20160930,11,3,packards,na,1,0,NS,NS,0.001083758,73
20160930,12,3,packards,both,1,1,2.507094592,8.233364276,0.001989851,73
20160930,13,4,toussaint,cont,0,0,1.022385153,9.710016571,0.008272026,73
20160930,14,4,toussaint,corn,0,1,1.573421261,10.26090782,0.02562779,73
20160930,15,4,toussaint,na,1,0,NS,NS,0.018676217,73
20160930,16,4,toussaint,both,1,1,NS,NS,NS,73
20160930,17,5,toussaint,cont,0,0,NS,NS,NS,73
20160930,18,5,toussaint,corn,0,1,1.642895333,8.437121577,0.029449088,73
20160930,19,5,toussaint,na,1,0,0.994354876,7.920978186,0.001807804,73
20160930,20,5,toussaint,both,1,1,0.935817158,7.469199127,0.017446509,73
20160930,21,6,toussaint,cont,0,0,1.176784824,5.534025865,0.043151893,73
20160930,22,6,toussaint,corn,0,1,1.85840016,6.877339704,0.031014642,73
20160930,23,6,toussaint,na,1,0,1.589621343,3.749501008,0.036283657,73
20160930,24,6,toussaint,both,1,1,NS,NS,NS,73
20160930,25,7,stony.ridge,cont,0,0,1.633088548,9.215243354,0.012581508,73
20160930,26,7,stony.ridge,na,1,0,0.867435992,8.86328923,0.000444257,73
20160930,27,7,stony.ridge,corn,0,1,0.803982096,12.97925958,0.000848271,73
20160930,28,7,stony.ridge,both,1,1,1.829731755,0.945716199,0.001959309,73
20160930,29,8,stony.ridge,cont,0,0,1.584170572,3.335169586,0.001723634,73
20160930,30,8,stony.ridge,na,1,0,0.752370638,7.387973134,0.002279153,73
20160930,31,8,stony.ridge,corn,0,1,1.292086591,12.6528396,0.004585399,73
20160930,32,8,stony.ridge,both,1,1,1.560653893,7.520813409,0.00131962,73
20160930,33,9,stony.ridge,cont,0,0,0.919646234,7.826461284,0.015274934,73
20160930,34,9,stony.ridge,na,1,0,0.861195772,3.209543302,0.001134447,73
20160930,35,9,stony.ridge,corn,0,1,0.983141061,11.8203564,0.001050851,73
20160930,36,9,stony.ridge,both,1,1,NS,NS,NS,73
20160930,37,10,luckey,cont,0,0,1.018068637,7.522398052,0.037841806,73
20160930,38,10,luckey,na,1,0,NS,NS,NS,73
20160930,39,10,luckey,corn,0,1,2.50931238,8.115851146,NR,73
20160930,40,10,luckey,both,1,1,1.047455899,9.69845152,0.009569963,73
20160930,41,11,luckey,cont,0,0,2.168997514,11.24146884,0.018099983,73
20160930,42,11,luckey,na,1,0,0.666745569,7.171283578,0.004465325,73
20160930,43,11,luckey,corn,0,1,3.154824511,7.724503557,0.017711361,73
20160930,44,11,luckey,both,1,1,2.109920201,8.631224303,0.010611378,73
20160930,45,12,luckey,cont,0,0,1.317947104,14.26356564,0.00183618,73
20160930,46,12,luckey,na,1,0,0.565293956,10.00911414,0.004192167,73
20160930,47,12,luckey,corn,0,1,0.483823358,9.571369058,0.004943351,73
20160930,48,12,luckey,both,1,1,0.677026566,9.933282859,0.002075193,73
