bout,datecode,sample,block,field,treatment,treat.na,treat.stover,pH,gdry_gwet,co2,toc.k2so4,tn.k2so4,toc.h2o,tn.h2o,fum.c,fum.n,p.k2so4,p.fum,p.h2o,p.bicarb,bg,lap,nag,phos,p.total,na,n.percent,c.percent
1,20160713,1,1,packards,cont,0,0,6.5,0.910614525,57.79882609,42.60683912,89.48832546,33.58508446,67.78227032,214.7423611,157.823587,0.003302774,0.300247236,0.672515643,7.534462407,,29.36748768,17.7785863,36.72600687,769,5,0.23,2.78
1,20160713,2,1,packards,corn,0,1,6.69,0.93575419,383.9109987,226.7214244,300.1851482,119.1283827,174.9917459,437.3193924,370.3025525,0.00001,0.865147088,0.542511841,6.579340856,164.9151993,57.35559116,42.8564823,206.0565733,781,19,0.24,2.69
1,20160713,3,1,packards,na,1,0,5.62,0.950513539,28.11807749,91.54314982,213.3822627,43.2118662,115.4100455,199.0770794,227.1261281,0.092715628,0.376986441,0.332630726,4.526220063,,17.75829485,11.82706422,26.41509013,805,987,0.21,2.49
1,20160713,4,1,packards,both,1,1,6.24,0.945219124,118.8656261,80.37374017,417.1693832,75.764835,312.1040192,219.109854,514.2260419,0.092328185,0.385540199,0.19207934,8.050479139,,31.28363731,21.47299467,47.24987894,822,672,0.28,2.85
1,20160713,5,2,packards,cont,0,0,5.91,0.945848375,29.5065829,52.93593949,102.4041429,59.40098375,94.33408143,134.932265,128.675812,0.00001,0.132327847,0.163397155,5.887612569,,13.32876553,11.63970085,14.86525159,747,33,0.2,2.21
1,20160713,6,2,packards,corn,0,1,6.04,0.925925926,407.990286,178.9755869,157.2018902,121.3816404,103.9102117,302.9276485,168.7442846,0.144371292,0.420048133,0.600886402,9.52896098,,22.26812967,19.0603223,36.46748542,830,14,0.23,2.69
1,20160713,7,2,packards,na,1,0,5.67,0.930593607,43.82759573,44.53875532,214.8239536,29.92013006,167.7318597,173.1778177,248.8648895,0.00001,0.24652619,0.386797313,9.972625966,,18.32007328,14.38669199,22.50638217,828,327,0.21,2.32
1,20160713,8,2,packards,both,1,1,5.62,0.929162833,200.0151964,144.1092825,128.9559702,109.4353706,105.1576577,233.7667446,168.6450822,0.036300133,0.132500495,0.186306311,8.235030635,,34.42518243,41.61373318,80.70697042,783,1137,0.21,2.3
1,20160713,9,3,packards,cont,0,0,6.41,0.93669634,65.57232418,127.8023638,685.0282756,103.6996853,479.6646839,170.5679341,731.7397698,0.00001,0.048203254,0.165292404,8.179748181,,16.14072541,11.66726058,15.71595442,799,12,0.27,2.29
1,20160713,10,3,packards,corn,0,1,5.75,0.936945813,150.0499698,87.16723032,99.25668467,86.06508059,92.22362267,227.3868346,144.5552193,0.00001,0.222901981,0.161118491,10.09260914,,26.25299443,17.93909137,60.38770014,735,2,0.21,2.26
